,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
50,91,36,18,33,68,14,7,73,97,64,79,654,160,580,1119,648,7780,13197,2.0,2021-05-09 14:23:28,2021-05-09 14:29:56,N,1.0,42,41,1.0,1.0,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,1.0,0.0
11,92,21,62,66,32,90,87,12,78,72,49,587,353,959,4664,804,2499,74435,,2021-05-09 17:12:00,2021-05-09 17:48:00,,,242,235,,5.02,22.08,4.1,0.0,0.0,0.0,,0.3,26.48,,,
35,27,99,44,4,75,69,89,70,19,8,54,862,130,495,1928,2920,1526,47464,2.0,2021-05-29 16:27:42,2021-05-29 16:39:51,N,1.0,74,24,1.0,2.35,11.0,0.0,0.5,2.95,0.0,,0.3,14.75,1.0,1.0,0.0
23,71,29,76,20,43,41,61,31,80,25,48,316,420,685,2980,2334,642,84283,,2021-05-30 18:24:00,2021-05-30 18:48:00,,,129,17,,6.88,32.95,2.75,0.0,0.0,0.0,,0.3,36.0,,,
52,0,26,6,16,22,3,55,50,91,36,18,14,578,761,3651,658,6848,26012,2.0,2021-05-17 16:18:07,2021-05-17 16:25:37,N,1.0,74,75,2.0,1.15,7.0,1.0,0.5,2.0,0.0,,0.3,10.8,1.0,1.0,0.0
10,53,34,51,59,52,0,26,6,16,22,3,553,355,792,4828,4051,7280,58001,,2021-05-04 10:01:00,2021-05-04 10:18:00,,,53,16,,6.77,20.22,0.0,0.0,4.67,0.0,,0.3,25.19,,,
31,80,25,48,38,63,57,35,27,99,44,4,672,480,354,4613,1707,2640,3946,2.0,2021-05-03 17:56:36,2021-05-03 19:01:04,N,1.0,83,197,1.0,9.99,41.0,1.0,0.5,0.0,0.0,,0.3,42.8,1.0,1.0,0.0
66,32,90,87,12,78,72,49,5,93,83,46,819,269,416,825,3710,3572,17290,1.0,2021-05-12 07:36:47,2021-05-12 08:01:39,N,1.0,74,140,1.0,0.0,17.2,0.0,0.5,0.0,0.0,,0.3,18.0,1.0,1.0,0.0
57,35,27,99,44,4,75,69,89,70,19,8,306,827,589,2625,969,5559,38766,1.0,2021-05-25 06:28:39,2021-05-25 07:18:08,N,1.0,39,7,1.0,0.0,36.2,0.0,0.5,0.0,0.0,,0.3,37.0,1.0,1.0,0.0
79,77,94,9,95,96,67,84,39,74,98,47,141,615,490,2982,1714,7190,66941,,2021-05-14 08:36:00,2021-05-14 08:51:00,,,208,185,,4.66,19.32,2.75,0.0,0.0,0.0,,0.3,22.37,,,
