,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
46,17,24,45,15,30,60,10,53,34,51,59,319,49,587,35905,2.0,2021-06-20 21:54:39,2021-06-20 22:04:35,N,1.0,61,177,1.0,1.72,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
39,74,98,47,40,1,86,58,23,71,29,76,389,724,645,70407,,2021-06-14 16:56:00,2021-06-14 17:16:00,,,177,35,,2.48,18.95,2.75,0.0,0.0,0.0,,0.3,22.0,,,
65,85,65,85,65,85,65,85,65,85,65,85,693,69,576,29064,1.0,2021-06-17 06:38:37,2021-06-17 06:59:54,N,1.0,169,41,1.0,0.0,18.2,0.0,0.5,0.0,0.0,,0.3,19.0,1.0,1.0,0.0
58,23,71,29,76,20,43,41,61,31,80,25,788,121,904,36106,1.0,2021-06-21 05:55:50,2021-06-21 06:05:37,N,1.0,74,75,1.0,1.4,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2.0,1.0,0.0
12,78,72,49,5,93,83,46,17,24,45,15,55,582,831,55602,,2021-06-09 14:54:00,2021-06-09 15:14:00,,,188,35,,2.52,21.37,2.75,0.0,0.0,0.0,,0.3,24.42,,,
88,88,88,88,88,88,88,88,88,88,88,88,497,361,17,56679,,2021-06-11 13:10:00,2021-06-11 13:37:00,,,75,116,,3.96,20.61,5.5,0.0,0.0,0.0,,0.3,26.41,,,
70,19,8,54,28,82,81,37,56,11,92,21,481,632,776,33361,2.0,2021-06-19 11:39:20,2021-06-19 11:54:30,N,1.0,166,238,1.0,2.52,12.0,0.0,0.5,0.0,0.0,,0.3,15.55,2.0,1.0,2.75
87,12,78,72,49,5,93,83,46,17,24,45,783,937,802,60412,,2021-06-09 20:39:00,2021-06-09 21:01:00,,,35,85,,3.41,20.02,4.1,0.0,0.0,0.0,,0.3,24.42,,,
36,18,33,68,14,7,73,97,64,79,77,94,638,893,227,36039,2.0,2021-06-21 00:37:37,2021-06-21 00:44:44,N,1.0,129,260,1.0,1.1,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
21,62,66,32,90,87,12,78,72,49,5,93,279,172,145,8554,2.0,2021-06-05 13:00:21,2021-06-05 13:23:54,N,1.0,97,17,1.0,2.78,16.0,0.0,0.5,0.0,0.0,,0.3,16.8,1.0,1.0,0.0
83,46,17,24,45,15,30,60,10,53,34,51,295,167,942,11627,2.0,2021-06-07 12:11:27,2021-06-07 12:38:36,N,1.0,7,9,1.0,8.19,27.5,0.0,0.5,0.0,0.0,,0.3,28.3,2.0,1.0,0.0
9,95,96,67,84,39,74,98,47,40,1,86,236,680,843,57603,,2021-06-25 20:37:00,2021-06-25 21:07:00,,,241,75,,8.11,26.2,0.0,0.0,2.95,0.0,,0.3,29.45,,,
96,67,84,39,74,98,47,40,1,86,58,23,311,924,42,45324,2.0,2021-06-25 19:05:41,2021-06-25 19:33:33,N,1.0,74,69,2.0,3.15,19.0,1.0,0.5,0.0,0.0,,0.3,20.8,2.0,1.0,0.0
67,84,39,74,98,47,40,1,86,58,23,71,299,10,496,68738,,2021-06-16 13:22:00,2021-06-16 13:31:00,,,74,75,,1.26,7.7,0.0,0.0,0.84,0.0,,0.3,8.84,,,
64,79,77,94,9,95,96,67,84,39,74,98,367,345,337,59597,,2021-06-14 08:38:00,2021-06-14 09:13:00,,,62,14,,5.07,31.09,2.75,0.0,0.0,0.0,,0.3,34.14,,,
47,40,1,86,58,23,71,29,76,20,43,41,996,192,435,69413,,2021-06-14 15:25:00,2021-06-14 15:38:00,,,41,69,,1.88,20.34,2.75,0.0,0.0,0.0,,0.3,23.39,,,
44,4,75,69,89,70,19,8,54,28,82,81,456,912,82,61154,,2021-06-09 22:25:00,2021-06-09 23:01:00,,,92,123,,20.47,63.48,2.75,0.0,0.0,0.0,,0.3,66.53,,,
